TR1,TR2,TP1,TP2
43993250,216396052,43926670,216328542
44008538,216403813,43941959,216336294
43995734,216402782,43929149,216335274
44040302,216200517,43973714,216133010
44028578,216313631,43961990,216246110
43968214,216361193,43901628,216293674
44055770,216514267,43989198,216446758
43880685,216342725,43814108,216275219
44079919,216254091,44013332,216186577
44055397,216574540,43988822,216507035
43963804,216248345,43897227,216180836
44038110,216385498,43971524,216317986
43948101,216498035,43881522,216430523
44019363,216360207,43952789,216292701
43952375,216319679,43885801,216252169
44024140,216394864,43957565,216327348
43957087,216285287,43890498,216217761
44002589,216255128,43936012,216187619
43874478,216373501,43807911,216306002
43915849,216300403,43849276,216232887
44040180,216355779,43973606,216288268
44001687,216386088,43935117,216318569
44014373,216230537,43947804,216163035
43959462,216373004,43892891,216305498
44061202,216694182,43994619,216626670
44053356,216288851,43986769,216221332
44059307,216305435,43992716,216237909
44034886,216405615,43968304,216338106
43962858,216337864,43896286,216270358
43956934,216385267,43890350,216317754
44030905,216426501,43964320,216358983
44065981,216389889,43999393,216322371
43991993,216464894,43925417,216397383
44108884,216611182,44042302,216543660
44059387,216336066,43992808,216268549
43965895,216432638,43899311,216365113
43917946,216315716,43851356,216248198
44001504,216286443,43934921,216218912
44032297,216378007,43965708,216310487
43952536,216364066,43885961,216296552
43997722,216244649,43931141,216177126
43879587,216379675,43813006,216312157
44094195,216303814,44027616,216236301
43963215,216320631,43896632,216253105
43980197,216312339,43913621,216244827
44022802,216388019,43956223,216320494
43996244,216324974,43929657,216257452
44004510,216335664,43937919,216268130
44031738,216289473,43965150,216221958
43916627,216340597,43850037,216273069
43989893,216271929,43923314,216204411
44103590,216599571,44037015,216532058
44001297,216383917,43934717,216316399
43951759,216320303,43885182,216252785
44021418,216315160,43954835,216247638
44078686,216217452,44012099,216149922
43996739,216345463,43930159,216277949
44064932,216337704,43998340,216270172
43990827,216410252,43924242,216342741
43962786,216373780,43896208,216306270
44036046,216211431,43969477,216143922
44081131,216701914,44014543,216634389
44026855,216381931,43960264,216314393
43928011,216291322,43861434,216223797
44057027,216334845,43990445,216267325
44039629,216642549,43973043,216575027
44022263,216359881,43955676,216292361
43963408,216135086,43896849,216067568
44021145,216425013,43954562,216357479
44010282,216326820,43943699,216259286
44066081,216660142,43999498,216592607
44043551,216247966,43976976,216180449
44031338,216291932,43964747,216224406
43967396,216353814,43900828,216286300
43979791,216319926,43913214,216252401
44097673,216643384,44031098,216575863
43913033,216427126,43846454,216359607
44009060,216384838,43942484,216317340
43955479,216346289,43888901,216278761
43890531,216438890,43823946,216371357
43971906,216315520,43905327,216247998
43935947,216406264,43869368,216338741
43971604,216329134,43905026,216261612
43958674,216406069,43892095,216338542
44013425,216472655,43946843,216405135
44006391,216286640,43939818,216219145
44000540,216357545,43933955,216290020
44007978,216279432,43941407,216211926
43989272,216349848,43922699,216282344
43957240,216443325,43890670,216375816
44025585,216474314,43959005,216406799
43980264,216420310,43913684,216352792
44074733,216554192,44008148,216486675
43920935,216303003,43854342,216235481
44004657,216242309,43938079,216174799
43948063,216296347,43881479,216228833
43922160,216301245,43855596,216233744
44026838,216259557,43960253,216192042
43987627,216354576,43921051,216287061
43966799,216275569,43900211,216208049
43960813,216283098,43894222,216215571
44024469,216413490,43957883,216345963
44075298,216177831,44008703,216110302
43976623,216248841,43910041,216181329
43880010,216332667,43813434,216265142
43912415,216406747,43845836,216339233
44071866,216557053,44005289,216489542
44081838,216485648,44015254,216418130
43962648,216371880,43896059,216304360
44055886,216322667,43989316,216255154
43995584,216300025,43929012,216232512
44004531,216242429,43937953,216174925
44068273,216337942,44001683,216270415
43913795,216464242,43847222,216396733
44027063,216304903,43960476,216237385
44082944,216407743,44016366,216340224
44014935,216300651,43948354,216233129
44083625,216329747,44017055,216262231
44004375,216416688,43937786,216349161
44009057,216404315,43942476,216336799
43929783,216369409,43863205,216301897
43964741,216408696,43898161,216341179
44077564,216652732,44010983,216585220
43958451,216510725,43891866,216443213
44027176,216413332,43960602,216345816
43959664,216382531,43893085,216315024
44069280,216173087,44002697,216105568
43884465,216162821,43817888,216095311
44043232,216367090,43976643,216299552
44035116,216441220,43968545,216373716
44036265,216446225,43969686,216378711
44025151,216312953,43958574,216245441
44075002,216582081,44008424,216514566
44048092,216632032,43981515,216564516
43919284,216303616,43852700,216236108
44006021,216357686,43939436,216290171
43979636,216420941,43913052,216353420
44031154,216354560,43964585,216287054
44022816,216352164,43956237,216284640
44079928,216390789,44013348,216323272
44027489,216387418,43960911,216319903
43923906,216394235,43857320,216326718
43991344,216236176,43924752,216168656
43926160,216316201,43859580,216248688
43935783,216393605,43869200,216326105
43957660,216421917,43891081,216354404
44013805,216212684,43947222,216145171
43962924,216370067,43896340,216302548
43882822,216354426,43816239,216286906
44079160,216586631,44012575,216519112
44061491,216240253,43994927,216172749
44063356,216278838,43996787,216211332
43983804,216433653,43917226,216366148
43924700,216434911,43858126,216367396
44044291,216297405,43977705,216229885
44003151,216320624,43936570,216253105
43996896,216378085,43930305,216310560
44053121,216565567,43986537,216498047
43969053,216254885,43902465,216187363
43918257,216418311,43851676,216350799
44054322,216407170,43987749,216339662
43952219,216424804,43885646,216357285
44088157,216632427,44021578,216564899
44064330,216615803,43997746,216548278
44058514,216557603,43991938,216490094
43993386,216464018,43926812,216396502
44108934,216573243,44042357,216505722
44034974,216337451,43968384,216269922
43916448,216292133,43849869,216224608
44031884,216359982,43965307,216292468
43937449,216283919,43870861,216216407
44087268,216567260,44020680,216499740
43989280,216251548,43922694,216184032
44000852,216356726,43934258,216289196
43933030,216388692,43866452,216321178
43992210,216250160,43925637,216182638
44038097,216375283,43971509,216307759
43964180,216356508,43897603,216289004
44032081,216365935,43965502,216298415
43954602,216317979,43888015,216250454
44028655,216388307,43962063,216320785
44130753,216732150,44064176,216664639
43996771,216396646,43930183,216329117
43934015,216281218,43867438,216213697
43915849,216326518,43849272,216258999
43986778,216408683,43920197,216341158
44014105,216325009,43947539,216257511
43950835,216310979,43884255,216243469
44089765,216559632,44023186,216492123
43997710,216399290,43931133,216331762
43922030,216288068,43855460,216220562
43998353,216399663,43931776,216332143
44041378,216448301,43974787,216380766
44031144,216375066,43964561,216307544
44002023,216416972,43935448,216349465
43954586,216423471,43887989,216355942
43901088,216341277,43834505,216273760
44021105,216208965,43954525,216141455
44000346,216428401,43933757,216360870
43986303,216316479,43919718,216248961
43929799,216320754,43863220,216253241
44030511,216375673,43963950,216308177
44001662,216322117,43935081,216254594
43998279,216411005,43931702,216343481
44002016,216446683,43935441,216379168
44018095,216298522,43951509,216230993
43950739,216403759,43884171,216336237
44027821,216348181,43961236,216280659
43922193,216431287,43855608,216363759
