0.16,-58.71,-75.18,85.37,0.127,0.19,-56.12,-71.97,119.57,0.254
0.14,-58.85,-77.10,76.34,0.127,0.21,-56.10,-74.71,106.05,0.254
0.13,-59.39,-80.17,70.06,0.127,0.21,-56.28,-74.67,229.10,0.254
0.17,-57.88,-75.88,120.50,0.127,0.21,-56.13,-73.08,106.84,0.254
0.19,-57.82,-74.11,101.32,0.127,0.21,-56.86,-79.70,123.37,0.254
0.12,-57.65,-76.78,83.00,0.127,0.21,-56.87,-76.59,138.25,0.254
0.21,-56.84,-73.72,95.73,0.127,0.17,-56.70,-74.47,164.00,0.254
0.15,-57.27,-76.71,95.91,0.127,0.18,-56.72,-72.90,132.25,0.254
0.13,-58.83,-75.74,112.67,0.127,0.18,-56.82,-74.88,140.44,0.254
0.13,-57.59,-77.34,84.98,0.127,0.22,-57.27,-79.96,108.72,0.254
0.17,-57.42,-74.63,80.00,0.127,0.21,-56.53,-74.90,127.72,0.254
0.17,-57.10,-77.13,78.67,0.127,0.20,-56.26,-73.84,127.67,0.254
0.17,-58.15,-75.36,85.08,0.127,0.17,-56.37,-73.01,132.14,0.254
0.18,-56.89,-78.93,83.09,0.127,0.21,-56.90,-75.18,129.12,0.254
0.20,-57.69,-75.26,101.00,0.127,0.20,-56.36,-76.85,156.64,0.254
0.16,-58.33,-75.70,80.63,0.127,0.20,-55.86,-74.81,125.94,0.254
0.16,-55.96,-75.71,98.11,0.127,0.22,-57.18,-76.13,122.50,0.254
0.18,-58.59,-75.28,84.08,0.127,0.20,-56.20,-73.51,148.09,0.254
0.17,-56.44,-76.99,86.23,0.127,0.15,-55.78,-73.58,189.46,0.254
0.15,-59.07,-77.36,135.59,0.127,0.21,-56.15,-76.06,93.87,0.254
0.20,-56.54,-72.85,98.87,0.127,0.21,-56.56,-75.27,126.67,0.254
0.13,-58.23,-76.68,86.56,0.127,0.19,-56.36,-76.75,166.83,0.254
0.16,-58.71,-75.36,78.10,0.127,0.24,-56.31,-73.19,118.60,0.254
0.16,-57.21,-77.53,84.89,0.127,0.14,-56.98,-73.07,130.47,0.254
0.18,-57.63,-75.75,101.36,0.127,0.20,-56.20,-76.54,155.43,0.254
0.20,-58.18,-80.24,78.23,0.127,0.22,-56.67,-75.78,123.19,0.254
0.15,-57.02,-74.47,92.81,0.127,0.20,-56.17,-75.86,156.96,0.254
0.18,-58.28,-75.30,91.02,0.127,0.19,-55.80,-73.80,191.00,0.254
0.16,-56.76,-75.51,77.20,0.127,0.21,-56.52,-74.95,158.36,0.254
0.18,-58.82,-75.73,124.22,0.127,0.21,-56.36,-75.66,189.92,0.254
0.19,-58.14,-77.67,78.38,0.127,0.23,-56.52,-74.44,129.36,0.254
0.13,-57.47,-74.07,89.02,0.127,0.17,-56.43,-73.22,195.92,0.254
0.21,-57.82,-73.68,101.91,0.127,0.18,-56.20,-77.36,152.96,0.254
0.12,-57.70,-76.93,88.02,0.127,0.20,-56.10,-74.97,191.83,0.254
0.14,-58.54,-75.40,87.40,0.127,0.20,-56.28,-74.17,118.37,0.254
0.18,-58.10,-78.23,92.93,0.127,0.19,-56.21,-74.16,186.92,0.254
0.16,-58.82,-75.80,97.45,0.127,0.19,-56.24,-72.54,119.60,0.254
0.17,-57.43,-78.46,85.44,0.127,0.18,-55.84,-75.83,187.96,0.254
0.16,-58.32,-75.44,88.42,0.127,0.22,-56.03,-75.16,127.78,0.254
0.19,-57.84,-78.66,92.64,0.127,0.19,-56.12,-75.51,184.83,0.254
0.17,-58.08,-74.19,87.54,0.127,0.19,-56.20,-73.93,193.08,0.254
0.16,-57.76,-78.75,77.75,0.127,0.19,-56.76,-75.16,117.83,0.254
0.15,-58.28,-76.40,99.55,0.127,0.17,-55.93,-72.88,196.87,0.254
0.14,-58.48,-74.33,83.10,0.127,0.18,-56.48,-76.03,139.28,0.254
0.16,-56.99,-74.85,78.07,0.127,0.21,-56.13,-75.10,143.09,0.254
0.13,-58.99,-80.55,72.62,0.127,0.18,-56.38,-73.94,129.83,0.254
0.16,-58.01,-77.02,92.75,0.127,0.18,-56.37,-72.80,167.75,0.254
